ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Dialect
kahua,Kahua,kahu1241,Kahua,agw,Papunesia,-10.6963,162.191,Austronesian,
katazi,Katazi,kata1267,Katazi,,Papunesia,,,Austronesian,
kazukuru,Kazukuru,kazu1245,Kazukuru,kzk,Papunesia,-8.23886,157.687,Austronesian,
kia,Kia,zaba1237,Zabana,kji,Papunesia,-7.74311,158.753,Austronesian,
kilokaka,Kilokaka,zaza1245,Zazao,jaj,Papunesia,-8.18719,159.255,Austronesian,
kmagha,Kmagha,mari1427,Maringe,,Papunesia,,,Austronesian,
kokota,Kokota,koko1269,Kokota,kkk,Papunesia,-8.16481,159.191,Austronesian,
koo,Koo,kooo1245,Koo,,Papunesia,,,Austronesian,
kusaghe,Kusaghe,kusa1251,Kusaghe-Njela,ksg,Papunesia,-8.04056,157.463,Austronesian,
kwai,Kwai,gula1270,Gula'alaa,gmb,Papunesia,-8.74742,161.023,Austronesian,
kwaio,Kwaio,kwai1243,Kwaio,kwd,Papunesia,-8.93744,160.965,Austronesian,
kwaraae,Kwara'ae,kwar1239,Kwara'ae,kwf,Papunesia,-8.75779,160.804,Austronesian,
langalanga,Langalanga,wala1266,Wala,lgl,Papunesia,-8.81936,160.741,Austronesian,
launorth,Lau North,lauu1247,Lau,llu,Papunesia,-8.51018,160.872,Austronesian,
lavukaleve,Lavukaleve,lavu1241,Lavukaleve,lvk,Papunesia,-9.05569,159.119,Lavukaleve,
leleghia,Leleghia,chek1238,Cheke Holo,mrn,Papunesia,-8.27055,159.625,Austronesian,
lengo,Lengo,leng1259,Lengo,lgr,Papunesia,-9.56425,160.42,Austronesian,
lokuru,Lokuru,touo1238,Touo,tqu,Papunesia,-8.58405,157.296,Touo,
longgu,Longgu,long1395,Longgu,lgu,Papunesia,-9.75258,160.663,Austronesian,
lungga,Lungga,lung1249,Lungga,lga,Papunesia,-8.17469,156.573,Austronesian,
lwepe,Lwepe,natu1246,Natügu,ntu,Papunesia,-10.6771,165.835,Austronesian,
lomaumbi,Lömaumbi,loma1262,Lömaumbi,,Papunesia,,,Austronesian,
malagheti,Malagheti,mala1483,Malagheti,,Papunesia,,,Austronesian,
malango,Malango,mala1484,Malango,mln,Papunesia,-9.61383,160.118,Austronesian,
malo,Malo,natu1246,Natügu,ntu,Papunesia,-10.6771,165.835,Austronesian,
mami,Mami,kahu1241,Kahua,agw,Papunesia,-10.6963,162.191,Austronesian,
marau,Marau,mara1398,Marau Sound,,Papunesia,,,Austronesian,
marovo,Marovo,maro1244,Marovo,mvo,Papunesia,-8.37943,157.747,Austronesian,
mbaelelea,Mbaelelea,bael1237,Baelelea,bvc,Papunesia,-8.41627,160.721,Austronesian,
mbaengguu,Mbaengguu,baeg1237,Baeggu,bvd,Papunesia,-8.49014,160.771,Austronesian,
mbambatana,Mbambatana,baba1268,Babatana,baa,Papunesia,-7.22281,157.149,Austronesian,
mbaniata,Mbaniata,touo1238,Touo,tqu,Papunesia,-8.58405,157.296,Touo,
mbareke,Mbareke,bare1273,Bareke,,Papunesia,,,Austronesian,
mbilua,Mbilua,bilu1245,Bilua,blb,Papunesia,-7.92388,156.663,Bilua,
mbirao,Mbirao,bira1254,Birao,brr,Papunesia,-9.73716,160.52,Austronesian,
moli,Moli,moli1247,Moli,,Papunesia,,,Austronesian,
mono,Mono,mono1273,Mono-Alu,mte,Papunesia,-7.05102,155.76,Austronesian,
nanggu,Nanggu,nang1262,Nanggu,ngr,Papunesia,-10.7441,165.887,Austronesian,
ndi,Ndi,ndii1241,Ndi (Solomon Islands),,Papunesia,,,Austronesian,
ndovele,Ndovele,bilu1245,Bilua,bib,Papunesia,-7.92388,156.663,Bilua,
nduke,Nduke,duke1237,Duke,nke,Papunesia,-7.97768,157.064,Austronesian,
nembao,Nembao,amba1266,Amba (Solomon Islands),utp,Papunesia,-11.2958,166.498,Austronesian,
nggae,Nggae,gaee1238,Gae,,Papunesia,,,Austronesian,
nggela,Nggela,gela1263,Gela,nlg,Papunesia,-9.04587,160.186,Austronesian,
nggeri,Nggeri,geri1237,Geri,,Papunesia,,,Austronesian,
nginia,Nginia,ngin1246,Nginia,,Papunesia,,,Austronesian,
ontongjava,Ontong Java,onto1237,Luangiua,ojv,Papunesia,-5.49029,159.701,Austronesian,
oroha,Oroha,oroh1237,Oroha,ora,Papunesia,-9.7386,161.513,Austronesian,
paripao,Paripao,pari1257,Paripao,,Papunesia,,,Austronesian,
pileni,Pileni,pile1238,Vaeakau-Taumako,piv,Papunesia,-10.173335,166.247188,Austronesian,
poleo,Poleo,pole1240,Poleo,,Papunesia,,,Austronesian,
poro,Poro,gaoo1237,Gao,gga,Papunesia,-8.35163,159.789,Austronesian,
rawo,Rawo,rawo1242,Rawo (Bauro),,Papunesia,,,Austronesian,
reefs,Reefs,natu1246,Natügu,ntu,Papunesia,-10.6771,165.835,Austronesian,
rennell,Rennell,renn1242,Rennell-Bellona,mnv,Papunesia,-11.6237,160.265,Austronesian,
rihua,Rihu'a,rihu1237,Rihu'a,,Papunesia,,,Austronesian,
ririo,Ririo,riri1237,Ririo,rri,Papunesia,-6.88927,156.92,Austronesian,
roviana,Roviana,rovi1238,Roviana,rug,Papunesia,-8.20493,157.408,Austronesian,
saa1,Sa'a (1),saaa1240,Sa'a,apb,Papunesia,-9.60258,161.467,Austronesian,Sa'a village
saa2,Sa'a (2),saaa1240,Sa'a,apb,Papunesia,-9.60258,161.467,Austronesian,A'ulu village
samasodu,Samasodu,lagh1246,Laghu,lgb,Papunesia,-8.00509,158.961,Austronesian,
santaana,Santa Ana,sant1414,Santa Ana (Solomon Islands),,Papunesia,,,Austronesian,
santacatalina,Santa Catalina,sant1413,Santa Catalina,,Papunesia,,,Austronesian,
savosavo,Savosavo,savo1255,Savosavo,svs,Papunesia,-9.12853,159.814,Savosavo,
sengga,Sengga,sisi1250,Sisiqa,,Papunesia,-7.0,156.83,Austronesian,
sikaiana,Sikaiana,sika1261,Sikaiana,sky,Papunesia,-8.378194,162.72952,Austronesian,
simbo,Simbo,simb1256,Simbo,sbb,Papunesia,-8.26947,156.541,Austronesian,
talise,Talise,tali1259,Talise,tlr,Papunesia,-9.76764,160.231,Austronesian,
tandai,Tandai,tand1254,Tandai-Nggaria,,Papunesia,,,Austronesian,
tanema,Tanema,tane1237,Tanema,tnx,Papunesia,-11.68,166.97,Austronesian,
tanimbili,Tanimbili,tani1255,Tanimbili,tbe,Papunesia,-11.2975,166.507,Austronesian,
tataba,Tataba,chek1238,Cheke Holo,mrn,Papunesia,-8.27055,159.625,Austronesian,
tawaroga,Tawaroga,kahu1241,Kahua,agw,Papunesia,-10.6963,162.191,Austronesian,
tikopia,Tikopia,tiko1237,Tikopia,tkp,Papunesia,-12.2766,168.822,Austronesian,
toambaita,To'ambaita,toab1237,To'abaita,mlu,Papunesia,-8.39233,160.619,Austronesian,
tolo,Tolo,tolo1254,Tolo (Solomon Islands),,Papunesia,,,Austronesian,
tunoe,Tunöe,baba1268,Babatana,baa,Papunesia,-7.22281,157.149,Austronesian,
ughele,Ughele,ughe1237,Ughele,uge,Papunesia,-8.45725,157.341,Austronesian,
ukinimasi,Uki Ni Masi,ukin1237,Uki Ni Masi,,Papunesia,,,Austronesian,
ulawa,Ulawa,ulaw1237,Ulawa,,Papunesia,,,Austronesian,
vaghua,Vaghua,vagh1249,Vaghua,tva,Papunesia,-6.68712,156.542,Austronesian,
vangunu,Vangunu,vang1243,Vangunu,mpr,Papunesia,-8.66826,157.997,Austronesian,
vano,Vano,vano1237,Lovono,vnk,Papunesia,-11.6107,166.7984,Austronesian,
varisi,Varisi,vari1239,Varisi,vrs,Papunesia,-6.83443,156.655,Austronesian,
waladelaus,Walade (LauS),lauu1247,Lau,llu,Papunesia,-8.51018,160.872,Austronesian,
